Trade_Time,Price_USD,Volume_BTC,Symbol
2025-09-30 00:00:40.369,114191.9,0.001,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.001,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.052,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.052,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.052,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.011,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.052,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.017,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.006,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.007,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.002,BTCUSDT
2025-09-30 00:00:40.369,114191.9,0.001,BTCUSDT
2025-09-30 00:00:40.369,114191.8,0.002,BTCUSDT
2025-09-30 00:00:40.369,114191.8,0.001,BTCUSDT
2025-09-30 00:00:40.369,114191.8,0.001,BTCUSDT
2025-09-30 00:00:40.369,114191.8,0.015,BTCUSDT
2025-09-30 00:00:40.369,114191.8,0.004,BTCUSDT
2025-09-30 00:00:40.369,114191.5,0.002,BTCUSDT
2025-09-30 00:00:40.369,114191.3,0.038,BTCUSDT
2025-09-30 00:00:40.369,114191.2,0.05,BTCUSDT
2025-09-30 00:00:40.369,114191.2,0.002,BTCUSDT
2025-09-30 00:00:40.369,114190.9,0.034,BTCUSDT
2025-09-30 00:00:40.369,114190.6,0.028,BTCUSDT
2025-09-30 00:00:40.369,114190.4,0.05,BTCUSDT
2025-09-30 00:00:40.369,114190.4,0.002,BTCUSDT
2025-09-30 00:00:40.369,114190.4,0.002,BTCUSDT
2025-09-30 00:00:40.369,114190.0,0.001,BTCUSDT
2025-09-30 00:00:40.369,114189.8,0.002,BTCUSDT
2025-09-30 00:00:40.369,114189.7,0.001,BTCUSDT
2025-09-30 00:00:40.369,114189.3,0.004,BTCUSDT
2025-09-30 00:00:40.369,114189.2,0.002,BTCUSDT
2025-09-30 00:00:40.369,114189.1,0.002,BTCUSDT
2025-09-30 00:00:40.369,114189.1,0.002,BTCUSDT
2025-09-30 00:00:40.369,114188.8,0.065,BTCUSDT
2025-09-30 00:00:40.369,114188.4,0.001,BTCUSDT
2025-09-30 00:00:40.369,114188.2,0.001,BTCUSDT
2025-09-30 00:00:40.369,114188.1,0.002,BTCUSDT
2025-09-30 00:00:40.369,114188.1,0.002,BTCUSDT
2025-09-30 00:00:40.369,114188.1,0.002,BTCUSDT
2025-09-30 00:00:40.369,114188.0,0.001,BTCUSDT
2025-09-30 00:00:40.369,114187.5,0.002,BTCUSDT
2025-09-30 00:00:40.369,114187.4,0.001,BTCUSDT
2025-09-30 00:00:40.369,114187.4,0.026,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.011,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.03,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.002,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.004,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.002,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.004,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.006,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.004,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.005,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.005,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.004,BTCUSDT
2025-09-30 00:00:40.372,114187.4,0.001,BTCUSDT
2025-09-30 00:00:40.374,114187.4,0.117,BTCUSDT
2025-09-30 00:00:40.375,114187.4,0.03,BTCUSDT
2025-09-30 00:00:40.375,114187.4,0.087,BTCUSDT
2025-09-30 00:00:40.571,114187.5,0.062,BTCUSDT
2025-09-30 00:00:40.713,114187.5,0.008,BTCUSDT
2025-09-30 00:00:40.853,114187.5,0.115,BTCUSDT
2025-09-30 00:00:41.146,114187.4,0.087,BTCUSDT
2025-09-30 00:00:41.146,114187.4,0.001,BTCUSDT
2025-09-30 00:00:41.216,114187.4,0.001,BTCUSDT
2025-09-30 00:00:41.266,114187.5,0.008,BTCUSDT
2025-09-30 00:00:41.365,114187.5,0.742,BTCUSDT
2025-09-30 00:00:41.365,114187.5,0.088,BTCUSDT
2025-09-30 00:00:41.365,114187.5,0.089,BTCUSDT
2025-09-30 00:00:41.370,114187.5,0.001,BTCUSDT
2025-09-30 00:00:41.370,114187.5,0.5,BTCUSDT
2025-09-30 00:00:41.370,114187.5,0.117,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.001,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.002,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.008,BTCUSDT
2025-09-30 00:00:41.380,114187.5,0.034,BTCUSDT
